sample	peak_id	peak_rt_min	peak_rt_apex	peak_rt_max	peak_area	feature_id	feature_rt	feature_mz	feature_area	comparison_score
210619_AR_06_V_03_2_01.mzML	26	7.85	7.96666666666667	8.1	1.71514599595378	788	8.1092	507.17996	95590	0.594595818843691
210619_AR_06_V_03_2_01.mzML	27	8.1	8.31666666666667	8.46666666666667	6.17322420055357	788	8.1092	507.17996	95590	-0.336409844176377
210619_AR_06_V_03_2_01.mzML	34	11.1833333333333	11.3166666666667	11.4666666666667	1.55352014288354	1300	11.4188	483.12814	245100	0.858640679828877
210619_AR_06_V_03_2_01.mzML	35	11.4666666666667	11.6166666666667	11.7166666666667	1.42921094601249	1300	11.4188	483.12814	245100	-0.895189880044219
210619_AR_06_V_03_2_01.mzML	36	11.7166666666667	11.85	12.0666666666667	2.45227143707887	1365	11.8237	333.26469	4555000	0.883668600678491
210619_AR_06_V_03_2_01.mzML	36	11.7166666666667	11.85	12.0666666666667	2.45227143707887	1391	11.9293	381.04067	84890	0.897013873736272
210619_AR_06_V_03_2_01.mzML	37	12.0666666666667	12.2166666666667	12.4166666666667	1.67853910621591	1365	11.8237	333.26469	4555000	-0.303306378567964
210619_AR_06_V_03_2_01.mzML	37	12.0666666666667	12.2166666666667	12.4166666666667	1.67853910621591	1391	11.9293	381.04067	84890	0
210619_AR_06_V_03_2_01.mzML	42	12.8833333333333	13	13.3333333333333	1.59224365001629	1556	13.1627	457.07677	408400	0.523155034508033
210619_AR_06_V_03_2_01.mzML	65	19.3	19.5333333333333	19.8166666666667	2.70337124472365	2407	19.6422	379.26471	850100	0.973663893087333
210619_AR_06_V_03_2_01.mzML	80	23.7166666666667	23.9166666666667	24.4833333333333	5.26679978004067	2963	24.0382	363.23234	492700	0.974926368680517
210619_AR_06_V_03_2_01.mzML	103	29.6833333333333	29.9333333333333	29.9666666666667	1.85704025697525	3650	29.8408	485.36232	351100	-0.358944340203004
210619_AR_06_V_03_2_01.mzML	104	29.9666666666667	30.1	30.15	1.63261263700957	3650	29.8408	485.36232	351100	-0.231825167047855
